iso	url	name	place_id
484	http://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg	México	6793
583	http://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg	Micronesia	10322
498	http://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg	Moldova	10302
492	http://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg	Monaco	8227
496	http://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg	Mongolia	7347
499	http://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg	Montenegro	8859
500	http://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Montserrat.svg	Montserrat	10304
504	http://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg	Morocco	7306
508	http://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg	Mozambique	7134
104	http://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg	Myanmar	6992
516	http://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg	Namibia	7140
520	http://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg	Nauru	10308
524	http://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg	Nepal	7335
528	http://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg	Netherlands	7506
540	http://upload.wikimedia.org/wikipedia/commons/8/88/Pro-Independence_Flag_of_New_Caledonia.svg	New Caledonia	7083
554	http://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg	New Zealand	6803
558	http://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg	Nicaragua	6925
562	http://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg	Niger	8515
566	http://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg	Nigeria	7141
570	http://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Niue.svg	Niue	10307
574	http://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Norfolk_Island.svg	Norfolk Island	7333
580	http://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_the_Northern_Mariana_Islands.svg	Northern Mariana Islands	8355
578	http://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg	Norway	7016
512	http://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg	Oman	7356
586	http://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg	Pakistan	7076
585	http://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg	Palau	7320
275	http://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Palestine.svg	Palestine	9753
591	http://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg	Panama	7003
598	http://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg	Papua New Guinea	7013
600	http://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg	Paraguay	7254
604	http://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg	Peru	7513
608	http://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg	Philippines	6873
612	http://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_the_Pitcairn_Islands.svg	Pitcairn Islands	10309
616	http://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg	Poland	7800
620	http://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg	Portugal	7122
