county_name	geoid	url	obs_count	iconic_taxon	common_name	sci_name	photo	photo_attribution	critter_obs_count
Sarasota County, FL	12115	http://www.inaturalist.org/observations?place_id=2034	333	3	Great Blue Heron	Ardea herodias	http://farm4.staticflickr.com/3234/3020707979_b5bee7ddc0_s.jpg	(c) Mike Baird, some rights reserved (CC BY)	11
Holmes County, FL	12059	http://www.inaturalist.org/observations?place_id=2068	27	3	Downy Woodpecker	Picoides pubescens	http://farm4.staticflickr.com/3278/3064143839_2caa4b9da1_s.jpg	(c) Jason Means, some rights reserved (CC BY-NC-ND)	3
Clark County, ID	16033	http://www.inaturalist.org/observations?place_id=290	2	47126	Plants	Plantae	http://farm3.staticflickr.com/2027/2208392648_727c652505_s.jpg	(c) T.SC, some rights reserved (CC BY-NC-ND)	1
Kootenai County, ID	16055	http://www.inaturalist.org/observations?place_id=600	68	3	White-breasted Nuthatch	Sitta carolinensis	http://farm3.staticflickr.com/2412/2388338509_3690ec5fca_s.jpg	(c) Brian Peterson, some rights reserved (CC BY-NC-ND)	2
Blaine County, ID	16013	http://www.inaturalist.org/observations?place_id=2091	81	40151	American Pika	Ochotona princeps	http://farm5.staticflickr.com/4135/4935076505_b7ee85c0ed_s.jpg	(c) Daniele Colombo, some rights reserved (CC BY-NC-SA)	12
Fremont County, ID	16043	http://www.inaturalist.org/observations?place_id=2291	27	47178	Rainbow Trout	Oncorhynchus mykiss	http://farm4.staticflickr.com/3029/3067858402_0bdb145325_s.jpg	(c) Brian Yap (è‘‰), some rights reserved (CC BY-NC)	4
Camas County, ID	16025	http://www.inaturalist.org/observations?place_id=2468	2	3	Yellow-headed Blackbird	Xanthocephalus xanthocephalus	http://farm4.staticflickr.com/3197/2505085580_c132f1a5e1_s.jpg	(c) Dan Dzurisin, some rights reserved (CC BY-NC-ND)	1
Caribou County, ID	16029	http://www.inaturalist.org/observations?place_id=2541	24	3	Sandhill Crane	Grus canadensis	http://farm4.staticflickr.com/3529/3189546578_c197968833_s.jpg	(c) Andrea Westmoreland, some rights reserved (CC BY-SA)	5
Jerome County, ID	16053	http://www.inaturalist.org/observations?place_id=2792	5	3	Ferruginous Hawk	Buteo regalis	http://farm4.staticflickr.com/3086/3129167285_5dc135a810_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	1
Paulding County, GA	13223	http://www.inaturalist.org/observations?place_id=552	9	47126	Eastern poison-ivy	Toxicodendron radicans radicans	http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Toxicodendron_radicans_(L.)_Kuntze_-_eastern_poison_ivy,_poison_ivy,_poisonivy_(3778154190).jpg/75px-Toxicodendron_radicans_(L.)_Kuntze_-_eastern_poison_ivy,_poison_ivy,_poisonivy_(3778154190).jpg	(c) Sam Fraser-Smith, some rights reserved (CC BY)	4
Bear Lake County, ID	16007	http://www.inaturalist.org/observations?place_id=2879	27	47158	Cherry-faced Meadowhawk	Sympetrum internum	http://farm5.staticflickr.com/4118/4940155242_8519c7d3be_s.jpg	(c) J. N. Stuart, some rights reserved (CC BY-NC-ND)	3
Gem County, ID	16045	http://www.inaturalist.org/observations?place_id=2880	5	3	California Quail	Callipepla californica	http://static.inaturalist.org/photos/170711/square.jpg?1444566620	(c) Jörg Hempel, some rights reserved (CC BY-SA)	1
Bonneville County, ID	16019	http://www.inaturalist.org/observations?place_id=2881	43	3	Cassin's Finch	Haemorhous cassinii	http://static.inaturalist.org/photos/225768/square.jpg?1356835067	(c) greglasley, some rights reserved (CC BY-NC), uploaded by Greg Lasley	3
Oneida County, ID	16071	http://www.inaturalist.org/observations?place_id=2883	0	0	0	0	0	0	0
Lemhi County, ID	16059	http://www.inaturalist.org/observations?place_id=3015	67	47126	Thistles	Cirsium	http://farm1.staticflickr.com/23/24798596_7c0a575a5a_s.jpg	(c) Bill Bumgarner, some rights reserved (CC BY-NC-ND)	2
Cook County, GA	13075	http://www.inaturalist.org/observations?place_id=700	1	26036	Gopher Tortoise	Gopherus polyphemus	http://farm4.staticflickr.com/3269/2858978889_eb9230d393_s.jpg	(c) Andrea Westmoreland, some rights reserved (CC BY-SA)	1
Seminole County, GA	13253	http://www.inaturalist.org/observations?place_id=730	0	0	0	0	0	0	0
Bartow County, GA	13015	http://www.inaturalist.org/observations?place_id=947	26	20978	Cope's Gray Tree Frog	Hyla chrysoscelis	http://farm1.staticflickr.com/36/98560515_1c0e5227f7_s.jpg	(c) Patrick Coin, some rights reserved (CC BY-NC-SA)	1
