"login","user_id","user_icon","identifications","species","wg","wg"
"lfelliott",206,"https://static.inaturalist.org/attachments/users/icons/206/medium.jpg?1502090676",40,35,0,0
"tigran82",163810,"",40,36,0,0
"rosaer",40943,"https://static.inaturalist.org/attachments/users/icons/40943/medium.jpg?1475548414",39,46,0,0
"marisa_a",65154,"https://static.inaturalist.org/attachments/users/icons/65154/medium.jpg?1475589332",38,86,0,0
"inat7",383182,"https://static.inaturalist.org/attachments/users/icons/383182/medium.jpg?1484069941",38,21,0,0
"yannickvm",518687,"",37,30,0,0
"hydaticus",18780,"https://static.inaturalist.org/attachments/users/icons/18780/medium.jpg?1475537522",36,51,0,0
"txfishes",91209,"https://static.inaturalist.org/attachments/users/icons/91209/medium.jpg?1506778571",36,29,0,0
"letitbe793",498186,"",36,31,0,0
"knightericm",23016,"https://static.inaturalist.org/attachments/users/icons/23016/medium.png?1493470841",35,78,0,0
"ncowey",64142,"https://static.inaturalist.org/attachments/users/icons/64142/medium.jpg?1475590057",35,27,0,0
"crittertrackerboss1",253359,"https://static.inaturalist.org/attachments/users/icons/253359/medium.jpg?1511049991",35,24,0,0
"patriciatorrespineda",276833,"https://static.inaturalist.org/attachments/users/icons/276833/medium.jpeg?1475529234",35,41,0,0
"ewrunn1ng",300689,"",35,21,0,0
"csmitelli",376435,"https://static.inaturalist.org/attachments/users/icons/376435/medium.jpg?1485570577",35,77,0,0
"melpz",434584,"",35,22,0,0
"maxbottomtime",440904,"https://static.inaturalist.org/attachments/users/icons/440904/medium.jpg?1491287833",35,34,0,0
"ck2az",264009,"https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266",34,12,0,0
"gianlucapolgar",314158,"https://static.inaturalist.org/attachments/users/icons/314158/medium.jpg?1475532068",34,14,0,0
"crx2aj3",368287,"",34,33,0,0
"sergiomtz",457568,"https://static.inaturalist.org/attachments/users/icons/457568/medium.jpg?1501471543",34,28,0,0
"friel",3511,"https://static.inaturalist.org/attachments/users/icons/3511/medium.jpg?1475528889",33,93,0,0
"amlambert11",183583,"https://static.inaturalist.org/attachments/users/icons/183583/medium.jpg?1493171348",33,19,0,0
"katefish",457325,"https://static.inaturalist.org/attachments/users/icons/457325/medium.jpg?1509554803",33,31,0,0
"cherisse_dupreez",672124,"https://static.inaturalist.org/attachments/users/icons/672124/medium.jpg?1508186927",33,8,0,0
"mikeburrell",5967,"https://static.inaturalist.org/attachments/users/icons/5967/medium.jpeg?1475530397",32,23,0,0
"gwark",14812,"https://static.inaturalist.org/attachments/users/icons/14812/medium.jpg?1475535346",32,22,0,0
"sambiology",22589,"https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439",32,20,0,0
"cosmiccat",34728,"https://static.inaturalist.org/attachments/users/icons/34728/medium.png?1475546029",32,15,0,0
"zilch-live",476531,"https://static.inaturalist.org/attachments/users/icons/476531/medium.jpg?1504068962",32,8,0,0
"gleblanc756",495990,"",32,21,0,0
"fornaeffe",512793,"https://static.inaturalist.org/attachments/users/icons/512793/medium.jpg?1498629344",32,13,0,0
"lek",59123,"https://static.inaturalist.org/attachments/users/icons/59123/medium.gif?1475588572",31,88,0,0
"andersholder",110147,"https://static.inaturalist.org/attachments/users/icons/110147/medium.jpg?1505011435",31,28,0,0
"camilojotage",86081,"https://static.inaturalist.org/attachments/users/icons/86081/medium.jpg?1512083187",30,17,0,0
"whodden",145644,"https://static.inaturalist.org/attachments/users/icons/145644/medium.jpg?1475547531",30,91,0,0
"fadiyaghmour",186795,"",30,39,0,0
"kathawk",300278,"https://static.inaturalist.org/attachments/users/icons/300278/medium.jpg?1475527763",30,23,0,0
"amandahay",353443,"https://static.inaturalist.org/attachments/users/icons/353443/medium.jpg?1476842062",30,24,0,0
"star3",370785,"",30,15,0,0
"adrian84",376255,"",30,22,0,0
"mattytestoni",445882,"",30,28,0,0
"henicorhina",19563,"https://static.inaturalist.org/attachments/users/icons/19563/medium.jpg?1482809374",29,26,0,0
"melimez",425568,"https://static.inaturalist.org/attachments/users/icons/425568/medium.jpg?1490205196",29,17,0,0
"ccarrollc1",571552,"https://static.inaturalist.org/attachments/users/icons/571552/medium.jpg?1507547890",29,28,0,0
"acanthaster",730980,"",29,28,0,0
"missnarjess",68722,"https://static.inaturalist.org/attachments/users/icons/68722/medium.jpg?1500981952",28,26,0,0
"kylefitzroy",165609,"",28,25,0,0
"psweet",216168,"https://static.inaturalist.org/attachments/users/icons/216168/medium.jpg?1478731222",28,54,0,0
"bethredmondjones",374633,"https://static.inaturalist.org/attachments/users/icons/374633/medium.jpg?1496877739",28,6,0,0
"lachlan_fetterplace",408336,"https://static.inaturalist.org/attachments/users/icons/408336/medium.jpg?1487331964",28,23,0,0
"carmelo_lopez",15211,"https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487",27,284,0,0
"naturenate",86100,"https://static.inaturalist.org/attachments/users/icons/86100/medium.jpg?1491323876",27,14,0,0
"levfrid",187197,"https://static.inaturalist.org/attachments/users/icons/187197/medium.jpg?1481305270",27,27,0,0
"jaroslav",218801,"https://static.inaturalist.org/attachments/users/icons/218801/medium.jpg?1475540299",27,39,0,0
"anacarohdez",280151,"https://static.inaturalist.org/attachments/users/icons/280151/medium.jpg?1475529770",27,28,0,0
"tigerbb",306991,"https://static.inaturalist.org/attachments/users/icons/306991/medium.jpg?1475529894",27,14,0,0
"afelix",328678,"https://static.inaturalist.org/attachments/users/icons/328678/medium.jpg?1498017225",27,1,0,0
"noskcaj55",439008,"https://static.inaturalist.org/attachments/users/icons/439008/medium.jpeg?1491068110",27,13,0,0
"gustavofcsouza",629979,"https://static.inaturalist.org/attachments/users/icons/629979/medium.jpg?1505505542",27,25,0,0
"kueda",1,"http://staticdev.inaturalist.org/attachments/users/icons/1/medium.jpg?1475527316",26,112,0,0
"damontighe",3494,"https://static.inaturalist.org/attachments/users/icons/3494/medium.jpg?1475528878",26,39,0,0
"mneilson-usgs",22389,"",26,21,0,0
"ppiero",78411,"https://static.inaturalist.org/attachments/users/icons/78411/medium.jpeg?1513366347",26,1,0,0
"arborsphere",110496,"https://static.inaturalist.org/attachments/users/icons/110496/medium.jpg?1475547923",26,26,0,0
"bridgetspencer",147592,"https://static.inaturalist.org/attachments/users/icons/147592/medium.png?1475548015",26,26,0,0
"umpquamatt",416993,"https://static.inaturalist.org/attachments/users/icons/416993/medium.jpg?1490505704",26,11,0,0
"manuchretien",489869,"",26,9,0,0
"rogerbirkhead",512125,"https://static.inaturalist.org/attachments/users/icons/512125/medium.jpg?1500064867",26,18,0,0
"jeheiple",593014,"https://static.inaturalist.org/attachments/users/icons/593014/medium.jpg?1504657329",26,20,0,0
"jackson_chu",673396,"https://static.inaturalist.org/attachments/users/icons/673396/medium.jpg?1508269030",26,14,0,0
"wendy5",27263,"https://static.inaturalist.org/attachments/users/icons/27263/medium.jpg?1475541613",25,21,0,0
"jdjohnson",155822,"https://static.inaturalist.org/attachments/users/icons/155822/medium.jpg?1487989653",25,23,0,0
"jokurtz",267179,"https://static.inaturalist.org/attachments/users/icons/267179/medium.jpg?1486009596",25,51,0,0
"schoenitz",340786,"https://static.inaturalist.org/attachments/users/icons/340786/medium.jpg?1481050563",25,12,0,0
"garvinma",509673,"",25,15,0,0
"bobby23",516268,"https://static.inaturalist.org/attachments/users/icons/516268/medium.jpg?1507668047",25,17,0,0
"codyhough",2136,"https://static.inaturalist.org/attachments/users/icons/2136/medium.jpg?1475528348",24,49,0,0
"beeboy",13355,"https://static.inaturalist.org/attachments/users/icons/13355/medium.jpg?1475533838",24,25,0,0
"rcolby",85200,"https://static.inaturalist.org/attachments/users/icons/85200/medium.jpeg?1475547066",24,19,0,0
"dentrock",358718,"",24,20,0,0
"saratoga",367660,"",24,21,0,0
"stevelife3",386070,"https://static.inaturalist.org/attachments/users/icons/386070/medium.jpeg?1483472784",24,17,0,0
"kljinsitka",390883,"https://static.inaturalist.org/attachments/users/icons/390883/medium.jpg?1484713849",24,14,0,0
"dama",399359,"https://static.inaturalist.org/attachments/users/icons/399359/medium.jpg?1497839534",24,18,0,0
"ivanngarciia",434920,"https://static.inaturalist.org/attachments/users/icons/434920/medium.jpg?1490667692",24,20,0,0
"rileybio",556223,"https://static.inaturalist.org/attachments/users/icons/556223/medium.jpg?1501533292",24,19,0,0
"spqrblake",675274,"https://static.inaturalist.org/attachments/users/icons/675274/medium.jpg?1508459206",24,14,0,0
"silversea_starsong",6971,"https://static.inaturalist.org/attachments/users/icons/6971/medium.jpg?1496197825",23,47,0,0
"ryanandrews",147487,"https://static.inaturalist.org/attachments/users/icons/147487/medium.jpg?1487890794",23,25,0,0
