id	species
42025	Corvus corax
42043	Cyanocitta cristata
42051	Corvus corax
26045	Corvus brachyrhynchos
26047	Cyanocitta cristata
26059	Corvus brachyrhynchos
26061	Corvus brachyrhynchos
26071	Corvus brachyrhynchos
26077	Corvus brachyrhynchos
55085	Cyanocitta cristata
55123	Cyanocitta cristata
6003	Cyanocitta stelleri
6021	Aphelocoma californica
6043	Aphelocoma californica
6049	Nucifraga columbiana
6113	Aphelocoma californica
6061	Cyanocitta stelleri
16017	Corvus brachyrhynchos
16049	Pica hudsonia
17113	Corvus brachyrhynchos
17117	Cyanocitta cristata
17129	Cyanocitta cristata
17189	Corvus ossifragus
29135	Cyanocitta cristata
30105	Pica hudsonia
6067	Aphelocoma californica
24047	Corvus ossifragus
26021	Cyanocitta cristata
28029	Cyanocitta cristata
36073	Corvus brachyrhynchos
36097	Cyanocitta cristata
36101	Cyanocitta cristata
49017	Corvus corax
49023	Corvus corax
49055	Corvus corax
56035	Corvus brachyrhynchos
56037	Pica hudsonia
56009	Perisoreus canadensis
56023	Cyanocitta stelleri
56013	Perisoreus canadensis
30039	Pica hudsonia
30031	Pica hudsonia
30027	Pica hudsonia
30071	Pica hudsonia
30005	Pica hudsonia
30101	Corvus corax
30035	Corvus corax
30061	Pica hudsonia
30023	Pica hudsonia
30097	Corvus brachyrhynchos
56029	Pica hudsonia
56001	Perisoreus canadensis
56041	Pica hudsonia
56043	Pica hudsonia
30013	Corvus brachyrhynchos
30045	Corvus brachyrhynchos
30067	Pica hudsonia
30069	Pica hudsonia
30007	Pica hudsonia
30029	Pica hudsonia
30089	Pica hudsonia
30059	Corvus brachyrhynchos
30057	Pica hudsonia
30047	Pica hudsonia
23027	Corvus brachyrhynchos
23003	Corvus brachyrhynchos
23009	Corvus brachyrhynchos
23015	Corvus brachyrhynchos
23031	Cyanocitta cristata
23021	Corvus brachyrhynchos
23005	Cyanocitta cristata
23019	Corvus brachyrhynchos
23023	Cyanocitta cristata
23025	Cyanocitta cristata
23001	Cyanocitta cristata
23013	Corvus brachyrhynchos
23011	Cyanocitta cristata
23017	Cyanocitta cristata
30095	Corvus brachyrhynchos
1095	Corvus brachyrhynchos
1039	Corvus brachyrhynchos
18043	Cyanocitta cristata
18029	Cyanocitta cristata
18111	Cyanocitta cristata
18113	Corvus brachyrhynchos
18131	Cyanocitta cristata
18007	Cyanocitta cristata
18073	Cyanocitta cristata
18085	Corvus brachyrhynchos
18019	Cyanocitta cristata
18161	Cyanocitta cristata
18139	Cyanocitta cristata
18163	Cyanocitta cristata
18041	Cyanocitta cristata
18059	Cyanocitta cristata
42111	Cyanocitta cristata
18099	Corvus brachyrhynchos
18129	Cyanocitta cristata
18173	Cyanocitta cristata
18039	Corvus brachyrhynchos
18075	Cyanocitta cristata
12109	Cyanocitta cristata
12077	Cyanocitta cristata
28027	Corvus ossifragus
12133	Cyanocitta cristata
12129	Corvus ossifragus
12041	Corvus brachyrhynchos
12051	Cyanocitta cristata
12099	Cyanocitta cristata
12127	Aphelocoma coerulescens
12011	Cyanocitta cristata
12087	Corvus ossifragus
12085	Corvus ossifragus
12111	Corvus ossifragus
12005	Cyanocitta cristata
12086	Corvus ossifragus
12021	Corvus ossifragus
12001	Aphelocoma coerulescens
12131	Cyanocitta cristata
12091	Corvus brachyrhynchos
12103	Cyanocitta cristata
16075	Pica hudsonia
16087	Pica hudsonia
16073	Nucifraga columbiana
16031	Gymnorhinus cyanocephalus
16069	Pica hudsonia
16041	Cyanocitta stelleri
53007	Cyanocitta stelleri
53025	Nucifraga columbiana
16011	Nucifraga columbiana
16037	Nucifraga columbiana
16051	Nucifraga columbiana
16077	Gymnorhinus cyanocephalus
16085	Pica hudsonia
16003	Pica hudsonia
16035	Pica hudsonia
16027	Pica hudsonia
16083	Nucifraga columbiana
16039	Nucifraga columbiana
53065	Corvus brachyrhynchos
53023	Pica hudsonia
53047	Cyanocitta stelleri
53049	Cyanocitta stelleri
53039	Pica hudsonia
53063	Pica hudsonia
53051	Corvus brachyrhynchos
53067	Perisoreus canadensis
16009	Pica hudsonia
16057	Pica hudsonia
13291	Cyanocitta cristata
13295	Corvus brachyrhynchos
13213	Cyanocitta cristata
13275	Cyanocitta cristata
13139	Corvus brachyrhynchos
13271	Corvus brachyrhynchos
13297	Corvus brachyrhynchos
13309	Corvus brachyrhynchos
13013	Corvus brachyrhynchos
13001	Corvus brachyrhynchos
13145	Corvus brachyrhynchos
13111	Cyanocitta cristata
13053	Corvus brachyrhynchos
19125	Corvus brachyrhynchos
19153	Corvus brachyrhynchos
19181	Corvus brachyrhynchos
19121	Corvus brachyrhynchos
