"login","user_id","user_icon","identifications","species","wg"
"djm",220315,"https://static.inaturalist.org/attachments/users/icons/220315/medium.jpg?1475540578",36,18,0
"ellendale",310151,"https://static.inaturalist.org/attachments/users/icons/310151/medium.jpg?1505177465",36,28,0
"micrathene",322026,"https://static.inaturalist.org/attachments/users/icons/322026/medium.jpg?1475534086",36,18,0
"jordygroffen",332888,"",36,13,0
"mkosiewski",360028,"",36,38,0
"henningl",559151,"https://static.inaturalist.org/attachments/users/icons/559151/medium.jpg?1504893058",36,20,0
"bushboy",662724,"https://static.inaturalist.org/attachments/users/icons/662724/medium.jpg?1507564873",36,13,0
"leptonia",5179,"https://static.inaturalist.org/attachments/users/icons/5179/medium.jpg?1492195206",35,19,0
"troyhibbitts",34495,"",35,37,0
"treeder86",41491,"https://static.inaturalist.org/attachments/users/icons/41491/medium.jpg?1475548563",35,64,0
"germanoferrando",113729,"https://static.inaturalist.org/attachments/users/icons/113729/medium.jpg?1475548635",35,9,0
"naprauss",413441,"https://static.inaturalist.org/attachments/users/icons/413441/medium.jpg?1488161988",35,16,0
"vireo",417534,"",35,4,0
"donaldasutherland",437461,"https://static.inaturalist.org/attachments/users/icons/437461/medium.jpg?1490904680",35,12,0
"catchang",179103,"https://static.inaturalist.org/attachments/users/icons/179103/medium.jpg?1475544619",34,8,0
"nicholus",200477,"https://static.inaturalist.org/attachments/users/icons/200477/medium.jpg?1485835561",34,33,0
"cmcheatle",409010,"https://static.inaturalist.org/attachments/users/icons/409010/medium.jpeg?1487442398",34,10,0
"snakeinmypocket",14811,"https://static.inaturalist.org/attachments/users/icons/14811/medium.jpg?1500248931",33,23,0
"jacobogre",138422,"https://static.inaturalist.org/attachments/users/icons/138422/medium.jpg?1475545794",33,31,0
"wjneely",172852,"https://static.inaturalist.org/attachments/users/icons/172852/medium.jpg?1497908280",33,39,0
"joshuadoby",226045,"https://static.inaturalist.org/attachments/users/icons/226045/medium.jpg?1502518066",33,23,0
"malisaspring",242224,"https://static.inaturalist.org/attachments/users/icons/242224/medium.jpg?1506022465",33,14,0
"edgarallenhoopoe",369892,"",33,13,0
"sweiser",400429,"https://static.inaturalist.org/attachments/users/icons/400429/medium.jpg?1486535445",33,13,0
"august_farrow",460961,"https://static.inaturalist.org/attachments/users/icons/460961/medium.jpg?1494699959",33,4,0
"cedric_lee",12809,"https://static.inaturalist.org/attachments/users/icons/12809/medium.jpg?1483556112",32,14,0
"jaykeller",27743,"https://static.inaturalist.org/attachments/users/icons/27743/medium.jpg?1498531889",32,30,0
"dc_stokes",73478,"https://static.inaturalist.org/attachments/users/icons/73478/medium.jpg?1494295753",32,13,0
"paolilli",237267,"https://static.inaturalist.org/attachments/users/icons/237267/medium.jpg?1475544741",32,9,0
"billygdvm",286152,"https://static.inaturalist.org/attachments/users/icons/286152/medium.jpeg?1475531456",32,38,0
